,PLAYER,POSITION,AGE,MP,DRB,STL,BLK,PF,TEAM,GP,DRPM,SALARY_MILLIONS
253,Wayne Selden,SG,22,16.9,1.1,0.4,0.1,1.3,NO/MEM,14,-0.28,1.31
254,Denzel Valentine,SG,23,17.1,2.5,0.5,0.1,1.5,CHI,57,0.13,2.09
255,Anthony Bennett,PF,23,11.5,2.3,0.2,0.1,0.8,BKN,23,-1.29,1.02
256,Aaron Brooks,PG,32,13.8,0.8,0.4,0.1,1.4,IND,65,-1.47,2.7
257,Trey Burke,PG,24,12.3,0.7,0.2,0.1,0.9,WSH,57,-3.09,3.39
258,Joakim Noah,C,31,22.1,5.2,0.7,0.8,2.8,NY,46,1.17,17.0
259,Aron Baynes,C,30,15.5,3.0,0.2,0.5,2.2,DET,75,2.93,6.5
260,Juan Hernangomez,PF,21,13.6,2.3,0.5,0.2,1.0,DEN,62,-0.69,1.99
261,Mario Hezonja,SF,21,14.8,1.9,0.5,0.2,1.1,ORL,65,-2.2,3.91
262,Josh McRoberts,PF,29,17.3,2.3,0.5,0.2,1.4,MIA,22,-0.01,5.78
263,Tiago Splitter,C,32,9.5,1.8,0.1,0.1,1.0,PHI,8,0.69,8.55
264,Jarell Eddie,SF,25,12.4,1.2,0.2,0.0,0.2,PHX,5,0.62,0.06
265,Kevin Seraphin,PF,27,11.4,2.1,0.1,0.4,1.3,IND,49,-1.07,1.8
266,Isaiah Canaan,SG,25,15.2,1.1,0.6,0.0,0.9,CHI,39,-1.12,1.02
267,Boris Diaw,PF,34,17.6,1.5,0.2,0.1,1.1,UTAH,73,-0.5,7.0
268,Roy Hibbert,C,30,14.2,2.0,0.2,1.0,2.1,DEN/CHA,48,2.08,5.0
269,Kris Humphries,PF,31,12.3,2.6,0.3,0.4,1.2,ATL,56,0.41,4.0
270,Corey Brewer,SF,30,15.6,1.6,0.7,0.2,1.6,HOU/LAL,82,1.0,7.61
271,Reggie Bullock,SF,25,15.1,1.6,0.6,0.1,0.7,DET,31,0.57,2.26
272,Pierre Jackson,PG,25,10.5,1.0,0.3,0.0,0.6,DAL,8,-0.76,0.03
273,Stanley Johnson,SF,20,17.8,2.0,0.7,0.3,1.6,DET,77,-0.04,2.97
